Guacamole | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/4444437801
Restaurant Costanera | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/4444437891
Fuente Valdiviana | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/4553124389
La Posada | sector=Las Ánimas | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/4558492696
El Rincón de la Abuela | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=(sin tag) | osm=node/4763435922
Donde Yayo | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=(sin tag) | osm=node/4829667908
Nonna Clara Pizzería | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=pizza | osm=node/5072580222
Nonna Clara Repostería | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=pancake | osm=node/5072580223
Carrito | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=(sin tag) | osm=node/5287949732
Señora Juanita | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=(sin tag) | osm=node/5287949733
Producciones Nicook | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/5287949734
Pewen | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=(sin tag) | osm=node/5287949738
Comida Rapida El Bajon | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=burger;sandwich | osm=node/5288977473
Donde el Tata | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=steak_house | osm=node/5288977944
Pollos Schüler | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=burger;chicken;fish_and_chips;regional | osm=node/5289004290
Restaurany Los Ríos | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/5302681344
Río Roll | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=sushi | osm=node/5302681352
Pedro, Juan & Diego | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=burger;sandwich | osm=node/5302681353
Sabor de India | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=indian | osm=node/5302681653
Tarragona | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=burger;chicken | osm=node/5302681654
Cafeteria y Cocineria Los Rios | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=steak_house | osm=node/5302681724
Juan Maestro | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=burger | osm=node/5303396340
Tommy Beans | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=mexican | osm=node/5303396342
Pedro, Juan y Diego | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=burger | osm=node/5303396343
Buffet Express | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/5303404178
El Chilenito | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=(sin tag) | osm=node/5343702329
Restaurante La Abuela | sector=Corral | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/5427833121
Feria Gastronómica Corral | sector=Corral | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/5427833221
Don Rucio | sector=Centro | categoria_id=2 | amenity=bar | cuisine=(sin tag) | osm=node/6190595588
Enki | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/6253636096
Encuentro Valdiviano | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=sandwich;regional | osm=node/6281849486
New Orleans | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/7018352985
Cervecería Mawida | sector=Centro | categoria_id=2 | amenity=bar | cuisine=pizza | osm=node/7884252886
El Tropezón | sector=Niebla | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/9359346322
Pizzería Corazón Contento | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/9768684917
Ubuntu - Lugar de Encuentros | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/9768685017
Enki Vegan | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=pizza | osm=node/9768685117
450 Bar Pizzeria | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=pizza | osm=node/10795405881
La choza del Teba | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=(sin tag) | osm=node/11115123714
Klasser Burger | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=burger;fries | osm=node/12069090157
Donde La Mayo | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=sandwich;friture | osm=node/12088079453
Toto | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=sandwich | osm=node/12365224282
Churros | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=(sin tag) | osm=node/12396949534
Club Ibiza | sector=Centro | categoria_id=2 | amenity=bar | cuisine=(sin tag) | osm=node/12507634180
Al Yugo | sector=Centro | categoria_id=2 | amenity=bar | cuisine=(sin tag) | osm=node/12507634181
Cafefit | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=(sin tag) | osm=node/12952972356
Agualda | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=pizza | osm=node/13076545379
Sushi An | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=sushi;fries;japanese | osm=node/13233344170
Ikigaisushi | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=japanese | osm=node/13288223714
Under Pizza | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=pizza | osm=node/13301596637
La Perla Negra | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/13685200401
Valdiviana | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/13685200402
Ansai Sushi | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=sushi | osm=node/13860814561
Mar Azul | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=friture | osm=node/13987116202
Yang Cheng | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=chinese | osm=way/124432950
Camino de Luna | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=way/127263784
La Casona | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=way/129384916
Fogón Palestino | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=way/163548339
Shot Karaoke | sector=Centro | categoria_id=2 | amenity=bar | cuisine=(sin tag) | osm=way/181669943
Café Haussmann | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=german;sandwich | osm=way/360584382
Papas Bravas | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=way/374420179
Los Corelly | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=(sin tag) | osm=way/403859558
